constructorResultsId,raceId,constructorId,points,status,name,year
14332,858,1,40.0,\N,McLaren,2011
14333,858,6,28.0,\N,Ferrari,2011
14334,858,9,12.0,\N,Red Bull,2011
14335,858,131,14.0,\N,Mercedes,2011
14336,858,10,6.0,\N,Force India,2011
14337,858,15,1.0,\N,Sauber,2011
14338,858,3,0.0,\N,Williams,2011
14339,858,4,0.0,\N,Renault,2011
14340,858,5,0.0,\N,Toro Rosso,2011
14341,858,205,0.0,\N,Lotus,2011
14342,858,166,0.0,\N,Virgin,2011
14343,858,164,0.0,\N,HRT,2011
14344,859,9,43.0,\N,Red Bull,2011
14345,859,1,15.0,\N,McLaren,2011
14346,859,6,22.0,\N,Ferrari,2011
14347,859,10,12.0,\N,Force India,2011
14348,859,131,6.0,\N,Mercedes,2011
14349,859,15,2.0,\N,Sauber,2011
14350,859,4,1.0,\N,Renault,2011
14351,859,5,0.0,\N,Toro Rosso,2011
14352,859,3,0.0,\N,Williams,2011
14353,859,205,0.0,\N,Lotus,2011
14354,859,166,0.0,\N,Virgin,2011
14355,859,164,0.0,\N,HRT,2011
14356,860,1,40.0,\N,McLaren,2012
14357,860,9,30.0,\N,Red Bull,2012
14358,860,6,10.0,\N,Ferrari,2012
14359,860,15,12.0,\N,Sauber,2012
14360,860,208,6.0,\N,Lotus F1,2012
14361,860,5,2.0,\N,Toro Rosso,2012
14362,860,10,1.0,\N,Force India,2012
14363,860,131,0.0,\N,Mercedes,2012
14364,860,3,0.0,\N,Williams,2012
14365,860,206,0.0,\N,Marussia,2012
14366,860,207,0.0,\N,Caterham,2012
14367,861,6,25.0,\N,Ferrari,2012
14368,861,15,18.0,\N,Sauber,2012
14369,861,1,15.0,\N,McLaren,2012
14370,861,9,12.0,\N,Red Bull,2012
14371,861,208,10.0,\N,Lotus F1,2012
14372,861,3,8.0,\N,Williams,2012
14373,861,10,8.0,\N,Force India,2012
14374,861,5,4.0,\N,Toro Rosso,2012
14375,861,131,1.0,\N,Mercedes,2012
14376,861,207,0.0,\N,Caterham,2012
14377,861,206,0.0,\N,Marussia,2012
14378,861,164,0.0,\N,HRT,2012
14379,862,131,25.0,\N,Mercedes,2012
14380,862,1,33.0,\N,McLaren,2012
14381,862,9,22.0,\N,Red Bull,2012
14382,862,208,8.0,\N,Lotus F1,2012
14383,862,3,10.0,\N,Williams,2012
14384,862,6,2.0,\N,Ferrari,2012
14385,862,15,1.0,\N,Sauber,2012
14386,862,10,0.0,\N,Force India,2012
14387,862,5,0.0,\N,Toro Rosso,2012
14388,862,207,0.0,\N,Caterham,2012
14389,862,206,0.0,\N,Marussia,2012
14390,862,164,0.0,\N,HRT,2012
14391,863,9,37.0,\N,Red Bull,2012
14392,863,208,33.0,\N,Lotus F1,2012
14393,863,131,11.0,\N,Mercedes,2012
14394,863,10,8.0,\N,Force India,2012
14395,863,6,8.0,\N,Ferrari,2012
14396,863,1,4.0,\N,McLaren,2012
14397,863,15,0.0,\N,Sauber,2012
14398,863,5,0.0,\N,Toro Rosso,2012
14399,863,207,0.0,\N,Caterham,2012
14400,863,206,0.0,\N,Marussia,2012
14401,863,164,0.0,\N,HRT,2012
14402,863,3,0.0,\N,Williams,2012
14403,864,3,25.0,\N,Williams,2012
14404,864,6,18.0,\N,Ferrari,2012
14405,864,208,27.0,\N,Lotus F1,2012
14406,864,15,10.0,\N,Sauber,2012
14407,864,9,8.0,\N,Red Bull,2012
14408,864,131,6.0,\N,Mercedes,2012
14409,864,1,6.0,\N,McLaren,2012
14410,864,10,1.0,\N,Force India,2012
14411,864,5,0.0,\N,Toro Rosso,2012
14412,864,207,0.0,\N,Caterham,2012
14413,864,206,0.0,\N,Marussia,2012
14414,864,164,0.0,\N,HRT,2012
14415,865,9,37.0,\N,Red Bull,2012
14416,865,131,18.0,\N,Mercedes,2012
14417,865,6,23.0,\N,Ferrari,2012
14418,865,1,10.0,\N,McLaren,2012
14419,865,10,10.0,\N,Force India,2012
14420,865,208,2.0,\N,Lotus F1,2012
14421,865,3,1.0,\N,Williams,2012
14422,865,15,0.0,\N,Sauber,2012
14423,865,5,0.0,\N,Toro Rosso,2012
14424,865,207,0.0,\N,Caterham,2012
14425,865,206,0.0,\N,Marussia,2012
14426,865,164,0.0,\N,HRT,2012
14427,866,1,25.0,\N,McLaren,2012
14428,866,208,22.0,\N,Lotus F1,2012
14429,866,15,17.0,\N,Sauber,2012
14430,866,9,18.0,\N,Red Bull,2012
14431,866,6,11.0,\N,Ferrari,2012
14432,866,131,8.0,\N,Mercedes,2012
14433,866,10,0.0,\N,Force India,2012
14434,866,3,0.0,\N,Williams,2012
14435,866,5,0.0,\N,Toro Rosso,2012
14436,866,207,0.0,\N,Caterham,2012
14437,866,206,0.0,\N,Marussia,2012
14438,866,164,0.0,\N,HRT,2012
14439,867,6,25.0,\N,Ferrari,2012
14440,867,208,18.0,\N,Lotus F1,2012
14441,867,131,23.0,\N,Mercedes,2012
14442,867,9,12.0,\N,Red Bull,2012
14443,867,10,16.0,\N,Force India,2012
14444,867,1,4.0,\N,McLaren,2012
14445,867,15,2.0,\N,Sauber,2012
14446,867,3,1.0,\N,Williams,2012
14447,867,5,0.0,\N,Toro Rosso,2012
14448,867,207,0.0,\N,Caterham,2012
14449,867,206,0.0,\N,Marussia,2012
14450,867,164,0.0,\N,HRT,2012
14451,868,9,40.0,\N,Red Bull,2012
14452,868,6,30.0,\N,Ferrari,2012
14453,868,208,18.0,\N,Lotus F1,2012
14454,868,131,6.0,\N,Mercedes,2012
14455,868,1,5.0,\N,McLaren,2012
14456,868,3,2.0,\N,Williams,2012
14457,868,15,0.0,\N,Sauber,2012
14458,868,10,0.0,\N,Force India,2012
14459,868,5,0.0,\N,Toro Rosso,2012
14460,868,207,0.0,\N,Caterham,2012
14461,868,206,0.0,\N,Marussia,2012
14462,868,164,0.0,\N,HRT,2012
14463,869,6,25.0,\N,Ferrari,2012
14464,869,9,14.0,\N,Red Bull,2012
14465,869,1,18.0,\N,McLaren,2012
14466,869,208,15.0,\N,Lotus F1,2012
14467,869,15,20.0,\N,Sauber,2012
14468,869,131,7.0,\N,Mercedes,2012
14469,869,10,2.0,\N,Force India,2012
14470,869,5,0.0,\N,Toro Rosso,2012
14471,869,3,0.0,\N,Williams,2012
14472,869,207,0.0,\N,Caterham,2012
14473,869,206,0.0,\N,Marussia,2012
14474,869,164,0.0,\N,HRT,2012
14475,870,1,33.0,\N,McLaren,2012
14476,870,208,33.0,\N,Lotus F1,2012
14477,870,9,16.0,\N,Red Bull,2012
14478,870,6,12.0,\N,Ferrari,2012
14479,870,3,6.0,\N,Williams,2012
14480,870,131,1.0,\N,Mercedes,2012
14481,870,10,0.0,\N,Force India,2012
14482,870,15,0.0,\N,Sauber,2012
14483,870,5,0.0,\N,Toro Rosso,2012
14484,870,207,0.0,\N,Caterham,2012
14485,870,206,0.0,\N,Marussia,2012
14486,870,164,0.0,\N,HRT,2012
14487,871,1,25.0,\N,McLaren,2012
14488,871,9,26.0,\N,Red Bull,2012
14489,871,208,15.0,\N,Lotus F1,2012
14490,871,10,13.0,\N,Force India,2012
14491,871,6,10.0,\N,Ferrari,2012
14492,871,131,6.0,\N,Mercedes,2012
14493,871,5,6.0,\N,Toro Rosso,2012
14494,871,3,0.0,\N,Williams,2012
14495,871,15,0.0,\N,Sauber,2012
14496,871,207,0.0,\N,Caterham,2012
14497,871,206,0.0,\N,Marussia,2012
14498,871,164,0.0,\N,HRT,2012
14499,872,1,25.0,\N,McLaren,2012
14500,872,15,20.0,\N,Sauber,2012
14501,872,6,27.0,\N,Ferrari,2012
14502,872,208,10.0,\N,Lotus F1,2012
14503,872,131,14.0,\N,Mercedes,2012
14504,872,10,4.0,\N,Force India,2012
14505,872,3,1.0,\N,Williams,2012
14506,872,5,0.0,\N,Toro Rosso,2012
14507,872,207,0.0,\N,Caterham,2012
14508,872,206,0.0,\N,Marussia,2012
14509,872,164,0.0,\N,HRT,2012
14510,872,9,0.0,\N,Red Bull,2012
14511,873,9,25.0,\N,Red Bull,2012
14512,873,1,18.0,\N,McLaren,2012
14513,873,6,19.0,\N,Ferrari,2012
14514,873,10,12.0,\N,Force India,2012
14515,873,131,10.0,\N,Mercedes,2012
14516,873,208,14.0,\N,Lotus F1,2012
14517,873,5,2.0,\N,Toro Rosso,2012
14518,873,15,1.0,\N,Sauber,2012
14519,873,206,0.0,\N,Marussia,2012
14520,873,207,0.0,\N,Caterham,2012
14524,874,9,27.0,\N,Red Bull,2012
14522,873,3,0.0,\N,Williams,2012
14523,873,164,0.0,\N,HRT,2012
14525,874,6,18.0,\N,Ferrari,2012
14526,874,15,15.0,\N,Sauber,2012
14527,874,1,22.0,\N,McLaren,2012
